Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
11,Country,Northern Mariana Islands,mp032014,2014-11-04,,Ein Viertel des Budgets für Bildung,,,,,,,,,,17986,,13798,,,8082,4060,,,none,,,,,0,,,,,,"",0,12142,66.56,33.44,yes,
12,Country,Virgin Islands  U.S.,vi012014,2014-11-04,,Marihuana für medizinische und Forschungszwecke,,,,,,,,,,51326,,27879,,,10503,8074,,,none,,,,,0,,,,,,"",0,18577,56.54,43.46,yes,
13,Country,Virgin Islands  U.S.,vi022014,2014-11-04,,Verdopplung der Amtszeit des Senats,,,,,,,,,,51326,,27879,,,3192,18138,,,none,,,,,0,,,,,,"",0,18138,14.96,85.04,no,
14,Country,Uruguay,uy012014,2014-10-26,,Strafmündigkeitsalter 16 Jahre,,,,,,,,,,2620235,,2372117,,,1110283,1261834,,,none,,,,,0,,,,,,"",0,2372117,46.81,53.19,no,
15,Country,Jersey,je012014,2014-10-15,,Gemeindevorsteher (Constables) automatisch im Parlament,,,,,,,,,,62539,,24289,,,15068,9061,,,none,,,,,0,,,,,,"",0,24129,62.45,37.55,yes,
16,Country,Switzerland,585,2014-09-28,Citizens' initiative of 21.09.2011 «Stopping with the disrimination of value added tax (VAT) for the gastronomy»,Volksinitiative vom 21.09.2011 «Schluss mit der MwSt-Diskriminierung des Gastgewerbers!»,Initiative populaire du 21.09.2011 «Stop à la TVA discriminatoire pour la restauration!»,,82,99,14,13,22,7,Rejection,5240533,141831,2460809,49610,7809,684563,1718827,0,23,none,,,,,,Initiative (Formulated Draft),,,Branchenverband Gastrosuisse,,"Economy | Hospitality | Indirect taxation",46.96,2403390,28.48,71.52,no,
17,Country,Switzerland,586,2014-09-28,Citizens' initiative of 23.05.2012 «For a public health insurance»,Volksinitiative vom 23.05.2012 «Für eine öffentliche Krankenkasse»,Initiative populaire du 23.05.2012 «Pour une caisse publique d'assurance-maladie»,,62,132,2,12,27,3,Rejection,5240533,141831,2472295,20087,7160,933012,1512036,4,19,none,,,,,,Initiative (Formulated Draft),,,Das Initiativkomittee besteht aus über zwanzig Patienten-Organisationen  Parteien   Berufsfach- und Branchenverbände sowie Gesundheitsorganisationen und  Gewerkschaften.,,"Social Policy | Social security | Health and accident insurance",47.18,2445048,38.16,61.84,no,
18,Country,Macau,mo012014,2014-08-31,,Direktwahl des Regierungschefs,,,,,,,,,,Not known,,8688,189,,8259,231,,,none,,,,,0,,,,,,"",0,8679,97.28,2.72,yes,
19,Country,Macau,mo022014,2014-08-31,,Vertrauen in Fernando Chui Sai On als Regierungschef,,,,,,,,,,Not known,,Not known,528,,388,7762,,,none,,,,,0,,,,,,"",0,8678,4.76,95.24,no,
20,Country,Hong Kong,hk012014-0,2014-06-29,,Wahlverfahren des Regierungschefs: Alliance for True Democracy Proposal,,,,,,,,,,3500000,,792675,,,,,,,linked,,,333962,,0,,,,,,"",0,790914,0,0,,
21,Country,Hong Kong,hk012014-1,2014-06-29,,Wahlverfahren des Regierungschefs: People Power Proposal,,,,,,,,,,3500000,,792675,,,,,,,linked,,,82003,,0,,,,,,"",0,790914,0,0,,
22,Country,Hong Kong,hk012014-2,2014-06-29,,Wahlverfahren des Regierungschefs: Students' Proposal,,,,,,,,,,3500000,,792675,,,,,,,linked,,,304319,,0,,,,,,"",0,790914,0,0,,
23,Country,Hong Kong,hk012014-3,2014-06-29,,Wahlverfahren des Regierungschefs: Enthaltung,,,,,,,,,,3500000,,792675,,,,,,,linked,,,70630,,0,,,,,,"",0,790914,0,0,,
24,Country,Hong Kong,hk022014,2014-06-29,,Ablehnung eines unannehmbaren Wahlverfahrens durch das Parlament,,,,,,,,,,3500000,,792476,31294,,696092,59897,,,none,,,,,0,,,,,,"",0,787283,92.08,7.92,yes,
25,Country,Lithuania,lt012014,2014-06-29,,Verfassungsreform,,,,,,,,,,2538430,,380178,,,269049,100375,,,none,,,,,0,,,,,,"",0,380178,72.83,27.17,yes,
26,Country,Liechtenstein,li012014-0,2014-06-15,,Gesetz über die Pensionsversicherung für das Staatspersonal: Ja-Stimmen,,,,,,,,,,19448,,13637,49,155,5670,7257,,,linked,,,893,,0,,,,,,"",0,13433,43.86,56.14,no,
27,Country,Liechtenstein,li012014-1,2014-06-15,,Gesetz über die Pensionsversicherung für das Staatspersonal: Ja-Stimmen,,,,,,,,,,19448,,13637,49,155,6658,6715,,,linked,,,3710,,0,,,,,,"",0,13433,49.79,50.21,no,
28,Country,Slovenia,si012014,2014-06-08,,Gesetz über Dokumentenschutz und Archive,,,,,,,,,,1712733,,201047,,,64571,133347,,,none,,,,,0,,,,,,"",0,197918,32.63,67.37,no,
29,Country,Denmark,dk012014,2014-05-25,,Beitritt zum Europäischen Patentgerichtshof,,,,,,,,,,4124696,,2303783,77722,6157,1386881,833023,,,none,,,,,0,,,,,,"",0,2219904,62.47,37.53,yes,
30,Country,San Marino,sm012014,2014-05-25,,Aufhebung der Reform des Pensionsgesetzes,,,,,,,,,,33591,,14157,172,112,11026,2847,,,none,,,,,0,,,,,,"",0,13873,79.48,20.52,yes,
31,Country,San Marino,sm022014,2014-05-25,,Aufhebung des Gesetzes über die Ausübung der Medizinberufe,,,,,,,,,,33591,,14157,119,96,10881,3061,,,none,,,,,0,,,,,,"",0,13942,78.04,21.96,yes,
32,Country,Switzerland,581,2014-05-18,Federal decree on medical care (counter-proposal to the withdrawn Citizens' initiative «Yes to family medicine»),Bundesbeschluss vom 19.09.2013 über die medizinische Grundversorgung (Direkter Gegenentwurf zur Volksinitiative «Ja zur Hausarztmedizin»),Arrêté fédéral du 19.09.2013 concernant les soins médicaux de base (Contre-projet direct à l'initiative populaire «Oui à la médecine de famille»),,140,49,0,43,0,0,Acceptance,5221519,138548,2915993,89196,9731,2480870,336196,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,ursprünglich von der Ärzteschaft,,"Social Policy | Health | Health policy",55.85,2817066,88.07,11.93,yes,
33,Country,Switzerland,582,2014-05-18,Citizens' initiatve «Paedophiles should not work with children»,Volksinitiative vom 20.04.2011 «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,Initiative populaire du 20.04.2011 «Pour que les pédophiles ne travaillent plus avec des enfants»,,97,91,,15,23,,Rejection,5221519,138548,2933259,59214,Not known,1819822,1044704,23,0,none,,,,,,Initiative (Formulated Draft),,,Eine Initiative der mittlerweile aufgelösten Organisation Marche Blance  www.kinder-schuetzen.ch,Das Parlament hat keine Abstimmungsempfehlung beschlossen  weil der Nationalrat sich für die Initiative und der Ständerat gegen die Initiative aussprachen.,"Legal system | Criminal law | Children and young people",56.18,2864526,63.53,36.47,yes,
34,Country,Switzerland,583,2014-05-18,Citizens' initiative «For the protection of fair wages (minimum salery initiative),Volksinitiative vom 23.01.2012 «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,Initiative populaire du 23.01.2012 «Pour la protection de salaires équitables (Initiative sur les salaires minimums»),,56,137,2,12,29,0,Rejection,5221519,138548,2942915,36192,8960,687571,2210192,0,23,none,,,,,,Initiative (Formulated Draft),,,Gewerkschaften  www.mindestlohn-initiative.ch,,"Economy | Employment | Employment conditions",56.36,2897763,23.73,76.27,no,
35,Country,Switzerland,584,2014-05-18,Federal law of 27.09.2013 on the funds for the sourcing of combat aircraft Gripen (Gripen-Fund-law),Bundesgesetz vom 27.09.2013 über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz),Loi fédérale du 27.09.2013 sur le fonds d'acquisition de l'avion de combat Gripen (Loi sur le fonds Gripen),,119,71,4,25,17,0,Acceptance,5221519,138548,2941136,43627,9022,1345726,1542761,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),,,SP  Grüne  Gruppe Schweiz ohne Armee (GSoA) haben das Referendum ergriffen. www.nein-zum-gripen.ch  www.stop-gripen.ch,,"Security policy | Army | Public expenditure",56.33,2888487,46.59,53.41,no,
36,Country,Switzerland,578,2014-02-09,Federal decree on financing and expansion of the railway infrastructure (FABI),Bundesbeschluss über die Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),Arrête fédéral portant règlement du financement et de l'aménagement de l'infrastructure ferroviaire (FAIF),,116,33,5,37,0,0,Acceptance,5211426,137480,2930777,56560,9163,1776878,1088176,22,1,none,,,,,,Constitutional Referendum (Partialrevision),,,,Die FABI-Vorlage ist ein direkter Gegenentwurf zur Volksinitiative «Für den öffentlichen Verkehr»  die zurückgezogen wurde.,"Transport and infrastructure | Rail transport | Direct taxation",56.24,2865054,62.02,37.98,yes,
37,Country,Switzerland,579,2014-02-09,Citizens' initiative «The abortion financing is a private matter - discharge of the health insurance by cancellation of the costs of termination of pregnancy from the compulsory basic health insurance»,Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,Initiative populairce «Financer l'avortement est une affaire privée»,,33,155,7,5,37,0,Rejection,5211426,137480,2940167,38655,8903,873060,2019549,0.5,22.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative stammt aus religiös-konservativen Kreisen  www.privatsache.ch,,"Social Policy | Health policy | Health and accident insurance",56.42,2892609,30.18,69.82,no,
38,Country,Switzerland,580,2014-02-09,Citizens' initiative «Against mass immigration»,Volksinitiative «Gegen Masseneinwanderung»,Initiative populaire «Contre l'immigration de masse»,,54,140,1,5,37,0,Rejection,5211426,137480,2948156,31094,8656,1463854,1444552,14.5,8.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,"Immigration policy | EU | Bilateral treaties",56.57,2908406,50.33,49.67,yes,
39,Country,Egypt,eg012014,2014-01-15,,Verfassung,,,,,,,,,,53423485,,20613677,,,19985389,381341,,,none,,,,,0,,,,,,"",0,20366730,98.13,1.87,yes,
40,Country,New Zealand  ,nz012013,2013-12-13,,Teilprivatisierung gewisser Staatsbetriebe,,,,,,,,,,3037405,,1368925,,4167,442985,920188,,,none,,,,,0,,,,,,"",0,1367340,32.5,67.5,no,
41,Country,Croatia,hr012013,2013-12-01,,Ehe nur für Mann und Frau,,,,,,,,,,3791000,,1436163,,,946433,481534,,,none,,,,,0,,,,,,"",0,1436163,66.28,33.72,yes,no
42,Country,Switzerland,575,2013-11-24,Citizens' initiative «1:12 - for fair wages»,Volksinitiative «1:12 - Für gerechte Löhne»,,,56,130,1,10,28,4,Rejection,5203973,136156,2791082,31218,8147,954787,1796930,0,23,none,,,,,,Initiative (Formulated Draft),,,JUSO  Jungpartei der Sozialdemokraten,,"Economy | Pricing policy | Employment",53.63,2751717,34.7,65.3,no,
43,Country,Switzerland,576,2013-11-24,Citizens' initiative «Family initiative: tax deductions for parents who raise their children by themselves too»,Vollksinitiative «Familieninitiative: Steuerabzüge auch für Eltern  die ihre Kinder selber betreuen»,,,72,110,7,17,26,2,Rejection,5203973,136156,2788725,36312,8252,1139670,1604491,2.5,20.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,"Public finance | Direct taxation | Family policy",53.59,2744161,41.53,58.47,no,
44,Country,Switzerland,577,2013-11-24,Amendment of the 22 March 2013 of the federal law on taxes for the use of national roads (law on national roads taxes) (motorway vignette),Änderung vom 22.03.2013 des Bundesgesetzes über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz  NSAG) (Autobahnvignette),,,102,87,0,37,4,1,Acceptance,5203973,136156,2790051,31971,7964,1087368,1662748,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.100-fr-vignette-nein.ch Komitee bestehend aus SVP Mitglieder  Autoverbände,,"Public finance | Indirect taxation | Road construction",53.61,2750116,39.54,60.46,no,
45,Country,San Marino,sm012013,2013-10-20,Accession negotiations with the European Union,Beitrittsverhandlungen mit der Europäischen Union,,,,,,,,,,33303,,14448,867,192,6732,6657,,,none,,,,,,Legislative Initiative,,,,,"none | none | none",43.38,13389,50.28,49.72,no,
46,Country,San Marino,sm022013,2013-10-20,Inflation correction until collective labor contract settlements are concluded,Teuerungsausgleich bis zum Abschluss eines Gesamtarbeitsvertrags,,,,,,,,,,33303,,14412,571,141,10025,3685,,,none,,,,,,Legislative Initiative,,,,,"none | none | none",43.28,13710,73.12,26.88,no,
47,Country,Ireland,ie012013,2013-10-04,,Abschaffung des Senats,,,,,,,,,,3167384,,1240729,,,591937,634437,,,none,,,,,0,,,,,,"",0,1226374,48.27,51.73,no,
48,Country,Ireland,ie022013,2013-10-04,,Schaffung eines Appellationsgerichts,,,,,,,,,,3167384,,1240135,,,795008,425047,,,none,,,,,0,,,,,,"",0,1220055,65.16,34.84,yes,no
49,Country,Switzerland,572,2013-09-22,Citizens' initiative: «Yes to the abolition of compulsory military service»,,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,,57,128,4,8,32,2,Rejection,5194150,135134,2440536,21782,10958,644985,1762811,0,23,none,,,,,,Initiative (Formulated Draft),,,Gruppe Schweiz ohne Armee (GSoA)  www.wehrpflicht-aufheben.ch,Die Volksinitiative will den bestehenden Verfassungsartike «Jeder Schweizer ist verpflichtet  Militärdienst zu leisten» ersetzen durch die Bestimmung «Niemand kann verpflichtet werden  Militärdienst zu leisten». Der Verfassungsartikel «die Schweiz hat eine Armee. Diese ist grundsätzlich nach dem Milizprinzip organiseiert.» wird von der Initiative nicht tangiert.,"Security policy | Army | Abolition of the armed forces",46.99,2407796,26.79,73.21,no,
50,Country,Switzerland,573,2013-09-22,Federal law on control of communicable diseases (Epidemics law  EpG),Budesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz  EpG),,,149,14,25,40,2,3,Acceptance,5194150,135134,2428987,53727,11575,1395607,968078,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Eine Gruppe kleinerer  alternativmedizinisch oder religiös engagierter Verbände hat gegen das neue Epidemiegesetz das Referendum ergriffen.,,"Civil protection | Health policy | Division of tasks",46.76,2363685,59.04,40.96,yes,
51,Country,Switzerland,574,2013-09-22,Ammendment of 14 December 2012 of the federal law on Labour in industry  business and trade (Employment Act  ArG),Änderung vom 14. Dezember 2012 des Bundesgesetzes über die Arbeit in Industrie  Gewerbe und Handel (Arbeitsgesetz  ArG),,,128,59,2,29,11,3,Acceptance,5194150,135134,2429435,46811,Not known,1345662,1025817,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Gegen das Gesetz ist die Sonntagsallianz  der CSP  EVP  Grüne  SP  Gewerkschaften  Landkirchen und Arbeitsmediziner angehören.,,"Economy | Employment | none",46.77,2371479,56.74,43.26,yes,
52,Country,Switzerland,570,2013-06-09,Citizens' Initiative «Popular election of the federal government»,Volksinitiative «Volkswahl des Bundesrates»,,,49,137,9,5,34,3,Rejection,5184426,133700,2048664,12777,5516,480291,1550080,0,23,none,,,,,,Initiative (Formulated Draft),,,SVP  www.volkswahl.ch,,"State organisation | Government, administration | Citizens' rights",39.52,2030371,23.66,76.34,no,
53,Country,Switzerland,571,2013-06-09,Urgent amendment of the law on asylum,Dringliche Änderungen des Asylgesetzes,,,122,49,14,36,9,0,Acceptance,5184426,133700,2044092,33033,5878,1573007,432174,,,none,,,,,,Optional Legislative Referendum (Federal acts declared urgent),,,Junge Grüne zusammen mit verschiedenen Asylrechtsorganisationen und kirchlichen Vereinigungen,,"Social Policy | Social groups | Refugees",39.43,2005181,78.45,21.55,yes,
54,Country,Jersey,je012013-0,2013-04-24,,Wahlsystem (erste Runde): Option A,,,,,,,,,,63945,,16779,,,,,,,linked,,,6581,,0,,,,,,"",0,16624,0,0,,
55,Country,Jersey,je012013-1,2013-04-24,,Wahlsystem (erste Runde): Option B,,,,,,,,,,63945,,16779,,,,,,,linked,,,6804,,0,,,,,,"",0,16624,0,0,,
56,Country,Jersey,je012013-2,2013-04-24,,Wahlsystem (erste Runde): Option C,,,,,,,,,,63945,,16779,,,,,,,linked,,,3239,,0,,,,,,"",0,16624,0,0,,
57,Country,Jersey,je022013-0,2013-04-24,,Wahlsystem (zweite Runde): Option A,,,,,,,,,,63945,,16779,1727,155,,,,,linked,,,6707,,0,,,,,,"",0,14897,0,0,,Wahlsystem (zweite Runde): Option B
58,Country,Jersey,je022013-1,2013-04-24,,Wahlsystem (zweite Runde): Option B,,,,,,,,,,63945,,16779,1727,155,,,,,linked,,,8109,,0,,,,,,"",0,14897,0,0,,Wahlsystem (zweite Runde): Option B
59,Country,Zimbabwe,zw012013,2013-03-16,,Verfassung,,,,,,,,,,Not known,,3316082,,,3079966,179489,,,none,,,,,0,,,,,,"",0,3259455,94.49,5.51,yes,no
60,Country,Falkland Islands (Malvinas),fk012013,2013-03-11,,Status als britisches Überseegebiet,,,,,,,,,,1650,,1518,,,1513,3,,,none,,,,,0,,,,,,"",0,1516,99.8,0.2,yes,no
61,Country,Switzerland,567,2013-03-03,Federal decree of 15 June 2012 on family policy,Bundesbeschluss vom 15. Juni 2012 über die Familienpolitik,,,129,57,2,28,12,1,Acceptance,5174680,132688,2412095,42998,6615,1283951,1078531,10,13,none,,,,,,Constitutional Referendum (Partialrevision),,,,,"Family policy | Employment policy | Education policy",46.61,2362482,54.35,45.65,no,
62,Country,Switzerland,568,2013-03-03,Citizens' initiative against «fat-cat pay» (to curp senior managers' pay),Volksinitiative «gegen die Abzockerei»,,,87,104,4,14,26,1,Rejection,5174680,132688,2418825,34173,6493,1616184,761975,23,0,none,,,,,,Initiative (Formulated Draft),,,Thomas Minder,Zwar haben beide Kammer der Botschaft des Bundesrates zur Volksinitiative (Ablehnung) und zur Änderung des Obligationsrecht (Zustimmung)  BBl 2009 299 zugestimmt. Der Bundesrat und Ständerat empfehlen die Ablehnung der Initiative. Der Nationalrat hat keine Abstimmungsempfehlung beschlossen. Somit hat auch die Bundesversammlung als ganzes keine Abstimmungsempfehlung beschlossen.,"Economic policy | Structural policy | Employment conditions",46.74,2378159,67.96,32.04,yes,
63,Country,Switzerland,569,2013-03-03,Amendment of spatial planning law,Änderung des Raumplanungsgesetzes (RPG),,,108,77,10,30,10,1,Acceptance,5174680,132688,2406787,51840,6491,1476942,871514,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.rpg-revision-nein.ch,Die Änderung des Raumplanungsgesetzes wurde vom Parlament als indirekter Gegenvorschlag zur Landschaftsinitiative beschlossen. Diese verlangt  dass die Gesamtfläche der Bauzonen in der Schweiz während 20 Jahren nicht vergrössert wird. Sie wurde vom Initiativkomitee unter der Bedingung zuru?ckgezogen  dass die Revision des Raumplanungsgesetzes in Kraft tritt. Wird die nun vorliegende Revision abgelehnt  so kommt die Landschaftsinitiative zur Abstimmung.,"Soil | Spatial planning | Division of tasks",46.51,2348456,62.89,37.11,yes,
64,Country,Bahamas,bs012013,2013-01-28,,Zulassung von Internet-Bingo (Web shops),,,,,,,,,,Not known,,Not known,,,32533,50270,,,none,,,,,0,,,,,,"",0,82903,39.29,60.71,no,
65,Country,Bahamas,bs022013,2013-01-28,,Einführung einer landesweiten Lotterie,,,,,,,,,,Not known,,Not known,,,32850,48389,,,none,,,,,0,,,,,,"",0,81239,40.44,59.56,no,
66,Country,Bulgaria,bg012013,2013-01-27,,Bau eines neuen Kernkraftwerks,,,,,,,,,,6952183,,1405463,,,851757,533526,,,none,,,,,0,,,,,,"",0,1405463,61.49,38.51,yes,no
67,Country,Austria,at012013-0,2013-01-20,Future of the army: professional military,Berufsheer / allgemeine Wehrpflicht: Berufsheer,,,,,,,,,,6378628,,3344620,,,,,,,linked,Future of the army: general conscription option,,1315278,,0,Parliamentary plebiscite,,,,,"Security policy | Army | Military organisation",52.43,0,0,0,,
68,Country,Austria,at012013-1,2013-01-20,Future of the army: general conscription option,Berufsheer / allgemeine Wehrpflicht: Allgemeine Wehrpflicht,,,,,,,,,,6378628,,3344620,,,,,,,linked,Future of the army: professional military,,1947116,,0,Parliamentary plebiscite,,,,,"Security policy | Army | Military organisation",52.43,0,0,0,,
69,Country,Egypt,eg012012,2012-12-22,,Verfassung,,,,,,,,,,51919067,,17058317,,,10693911,6061011,,,none,,,,,0,,,,,,"",0,16754922,63.83,36.17,yes,no
70,Country,Switzerland,566,2012-11-25,Amendment of the law on epizootic diseases,Änderung des Tierseuchengesetzes (TSG),,,192,1,3,43,0,0,Acceptance,5166732,133104,1425830,3588,4238,946220,439484,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Eine Gruppe von Bio- und Kleinbauern sowie Impfgegnern ergriff das Referendum,,"Agriculture | Animal protection | Territoral questions",27.6,1385704,68.28,31.72,yes,
71,Country,Ireland,ie022012,2012-11-10,,Kinderrechte,,,,,,,,,,3183686,,1066239,,,615731,445863,,,none,,,,,0,,,,,,"",0,1061594,58,42,yes,no
72,Country,American Samoa,as012012,2012-11-06,Parliament can lift veto of the governor,Parlament kann Veto des Gouverneurs aufheben,,,,,,,,,,17774,,Not known,,,5852,7177,,,none,,,,,,Mandatory Constitutional Referendum,,,,,"Intergovernmental relations | Parliament | Government, administration",0,13029,44.92,55.08,no,
73,Country,Guam,gu012012,2012-11-06,,Kommerzielles Bingospiel,,,,,,,,,,50700,,34022,3237,15,10920,19850,,,none,,,,,0,,,,,,"",0,34022,35.49,64.51,no,
74,Country,Northern Mariana Islands,mp012012,2012-11-06,,Volkswahl des Generalstaatsanwalts,,,,,,,,,,16771,,12599,,,9248,2081,,,none,,,,,0,,,,,,"",0,11329,81.63,18.37,yes,no
75,Country,Northern Mariana Islands,mp022012,2012-11-06,,Zweckartikel der Universität,,,,,,,,,,16771,,12599,,,10084,1326,,,none,,,,,0,,,,,,"",0,11410,88.38,11.62,yes,no
76,Country,Northern Mariana Islands,mp032012,2012-11-06,,Ausgabe von Anleihen für Rentenzahlungen,,,,,,,,,,16771,,12599,,,6876,4152,,,none,,,,,0,,,,,,"",0,11028,62.35,37.65,yes,no
77,Country,Puerto Rico,pr032012,2012-11-06,,Beibehaltung des jetzigen Status,,,,,,,,,,2402941,,1878969,67267,12948,828077,970910,,,none,,,,,,,,,,,"none | none | none",78.19,1798987,46.03,53.97,no,
